#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AJRouter","System.ServiceProcess.ServiceController[]","False","False","False","Servicio de enrutador de AllJoyn","System.ServiceProcess.ServiceController[]",".","AJRouter","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ALG","System.ServiceProcess.ServiceController[]","False","False","False","Servicio de puerta de enlace de nivel de aplicaci?n","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Identidad de aplicaci?n","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Appinfo","System.ServiceProcess.ServiceController[]","False","False","True","Informaci?n de la aplicaci?n","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"AppMgmt","System.ServiceProcess.ServiceController[]","False","False","False","Administraci?n de aplicaciones","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","Preparaci?n de aplicaciones","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AppVClient","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft App-V Client","System.ServiceProcess.ServiceController[]",".","AppVClient","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Disabled",,
"AppXSvc","System.ServiceProcess.ServiceController[]","False","False","False","Servicio de implementaci?n de AppX (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]","False","False","False","AssignedAccessManager Service","System.ServiceProcess.ServiceController[]",".","AssignedAccessManagerSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","True","Compilador de extremo de audio de Windows","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Audiosrv","System.ServiceProcess.ServiceController[]","False","False","True","Audio de Windows","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","Instalador de ActiveX (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BcastDVRUserService_33ec8","System.ServiceProcess.ServiceController[]","False","False","False","Servicio de usuario de difusi?n y GameDVR_33ec8","System.ServiceProcess.ServiceController[]",".","BcastDVRUserService_33ec8","System.ServiceProcess.ServiceController[]",,"Stopped","240","Manual",,
"BDESVC","System.ServiceProcess.ServiceController[]","False","False","False","Servicio Cifrado de unidad BitLocker","System.ServiceProcess.ServiceController[]",".","BDESVC","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BFE","System.ServiceProcess.ServiceController[]","False","False","True","Motor de filtrado de base",,".","BFE","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BITS","System.ServiceProcess.ServiceController[]","False","False","True","Servicio de transferencia inteligente en segundo plano (BITS)","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"BluetoothUserService_33ec8","System.ServiceProcess.ServiceController[]","False","False","False","Servicio de soporte t?cnico al usuario de Bluetooth_33ec8","System.ServiceProcess.ServiceController[]",".","BluetoothUserService_33ec8","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Servicio de infraestructura de tareas en segundo plano",,".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","False","Servicio de puerta de enlace de audio de Bluetooth","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","True","Servicio AVCTP","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
