#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"ApplicationFrameHost";"1";"407";"2203574874112";"31948800";"11628544";"23376";"C:\Windows\system32\ApplicationFrameHost.exe";"Microsoft Corporation";"0,28125";"10.0.17763.1 (WinBuild.160101.0800)";"10.0.17763.1";"Application Frame Host";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"3376";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"407";"1400";".";"131156";"PowerShell/respuestaClase3.md at master ? njse22/PowerShell y 1 p?gina m?s ?- Microsoft Edge";"System.Diagnostics.ProcessModule (ApplicationFrameHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"23376";"23376";"11628544";"11628544";"382528";"382528";"12959744";"12959744";"32415744";"32415744";"260661248";"2203578884096";"True";"Normal";"11628544";"11628544";"00:00:00.1718750";"ApplicationFrameHost";"1";"True";"1";"System.Diagnostics.ProcessStartInfo";"19/02/2020 4:48:38 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.2812500";"00:00:00.1093750";"256651264";"2203574874112";"False";;;;"31948800";"31948800";;
"audiodg";"0";"202";"2203414327296";"12861440";"6586368";"11280";;;"0,171875";;;;;"Process";"8";;;;;;"202";"6656";".";"0";"";;;;;"11280";"11280";"6586368";"6586368";"110272";"110272";"9302016";"9302016";"13746176";"13746176";"96989184";"2203415212032";;;"6586368";"6586368";"00:00:00.1562500";"audiodg";;"True";"0";"System.Diagnostics.ProcessStartInfo";"19/02/2020 4:55:30 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1718750";"00:00:00.0156250";"96104448";"2203414327296";"False";;;;"12861440";"12861440";;
"browser_broker";"1";"539";"2237892083712";"31338496";"7745536";"23864";"C:\Windows\system32\browser_broker.exe";"Microsoft Corporation";"0,25";"11.00.17763.316 (WinBuild.160101.0800)";"11.00.17763.316";"Browser_Broker";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"756";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"539";"5928";".";"0";"";"System.Diagnostics.ProcessModule (browser_broker.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"23864";"23864";"7745536";"7745536";"357616";"357616";"8138752";"8138752";"31723520";"31723520";"217804800";"2237895766016";"True";"Normal";"7745536";"7745536";"00:00:00.1562500";"browser_broker";"1";"True";"1";"System.Diagnostics.ProcessStartInfo";"19/02/2020 4:48:51 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.2500000";"00:00:00.0937500";"214122496";"2237892083712";"False";;;;"31338496";"31338496";;
"csrss";"0";"501";"2203412713472";"5160960";"1613824";"20864";;;;;;;;"Process";"13";;;;;;"501";"388";".";"0";"";;;;;"20864";"20864";"1613824";"1613824";"238232";"238232";"1822720";"1822720";"5283840";"5283840";"96067584";"2203414290432";;;"1613824";"1613824";;"csrss";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"94490624";"2203412713472";"False";;;;"5160960";"5160960";;
"csrss";"1";"380";"2203411439616";"5029888";"1703936";"17264";;;;;;;;"Process";"13";;;;;;"380";"464";".";"0";"";;;;;"17264";"17264";"1703936";"1703936";"185352";"185352";"1875968";"1875968";"8077312";"8077312";"97718272";"2203415941120";;;"1703936";"1703936";;"csrss";;"True";"1";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"93216768";"2203411439616";"False";;;;"5029888";"5029888";;
"ctfmon";"1";"481";"2203470966784";"17428480";"4665344";"16904";;;"0,515625";;;;;"Process";"13";;;;;;"481";"4444";".";"0";"";;;;;"16904";"16904";"4665344";"4665344";"221704";"221704";"4694016";"4694016";"17444864";"17444864";"155762688";"2203473985536";;;"4665344";"4665344";"00:00:00.3593750";"ctfmon";;"True";"1";"System.Diagnostics.ProcessStartInfo";"19/02/2020 4:48:05 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5156250";"00:00:00.1562500";"152743936";"2203470966784";"False";;;;"17428480";"17428480";;
"dasHost";"0";"346";"2203399512064";"11898880";"3276800";"17216";;;;;;;;"Process";"8";;;;;;"346";"3052";".";"0";"";;;;;"17216";"17216";"3276800";"3276800";"102904";"102904";"3895296";"3895296";"12324864";"12324864";"88104960";"2203406327808";;;"3276800";"3276800";;"dasHost";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"81289216";"2203399512064";"False";;;;"11898880";"11898880";;
"dllhost";"1";"128";"2203408670720";"6647808";"1507328";"7608";"C:\Windows\system32\DllHost.exe";"Microsoft Corporation";"0,0625";"10.0.17763.1 (WinBuild.160101.0800)";"10.0.17763.1";"COM Surrogate";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"3588";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"128";"5024";".";"0";"";"System.Diagnostics.ProcessModule (DllHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"7608";"7608";"1507328";"1507328";"107480";"107480";"1671168";"1671168";"6672384";"6672384";"94990336";"2203413213184";"True";"Normal";"1507328";"1507328";"00:00:00.0312500";"dllhost";"1";"True";"1";"System.Diagnostics.ProcessStartInfo";"19/02/2020 4:48:21 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0625000";"00:00:00.0312500";"90447872";"2203408670720";"False";;;;"6647808";"6647808";;
"dllhost";"1";"234";"2203474055168";"12406784";"5021696";"20392";"C:\Windows\system32\DllHost.exe";"Microsoft Corporation";"0,140625";"10.0.17763.1 (WinBuild.160101.0800)";"10.0.17763.1";"COM Surrogate";"Microsoft? Windows? Operating System";"Process";"8";;"False";;"3620";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"234";"5480";".";"0";"";"System.Diagnostics.ProcessModule (DllHost.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"20392";"20392";"5021696";"5021696";"146768";"146768";"6529024";"6529024";"13557760";"13557760";"165695488";"2203483918336";"True";"Normal";"5021696";"5021696";"00:00:00.0937500";"dllhost";"1";"True";"1";"System.Diagnostics.ProcessStartInfo";"19/02/2020 4:49:37 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1406250";"00:00:00.0468750";"155832320";"2203474055168";"False";;;;"12406784";"12406784";;
"dwm";"1";"913";"2203592085504";"75476992";"37748736";"62056";;;;;;;;"Process";"13";;;;;;"913";"884";".";"0";"";;;;;"62056";"62056";"37748736";"37748736";"586200";"586200";"37941248";"37941248";"83312640";"83312640";"285069312";"2203603292160";;;"37748736";"37748736";;"dwm";;"True";"1";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"273862656";"2203592085504";"False";;;;"75476992";"75476992";;
