**********************
Inicio de la transcripción de Windows PowerShell
Hora de inicio: 20200315153544
Nombre de usuario: ACADEMICO\1144202885
Usuario RunAs: ACADEMICO\1144202885
Nombre de la configuración: 
Máquina: DESKTOP-O7EMF1E (Microsoft Windows NT 10.0.17763.0)
Aplicación host: C:\Windows\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe
Id. de proceso: 680
PSVersion: 5.1.17763.1007
PSEdition: Desktop
PSCompatibleVersions: 1.0, 2.0, 3.0, 4.0, 5.0, 5.1.17763.1007
BuildVersion: 10.0.17763.1007
CLRVersion: 4.0.30319.42000
WSManStackVersion: 3.0
PSRemotingProtocolVersion: 2.3
SerializationVersion: 1.1.0.1
**********************
La transcripción ha comenzado. El archivo de salida es C:\Users\1144202885\Documents\PowerShell_transcript.DESKTOP-O7EMF1E.AfWlE6Hl.20200315153544.txt
PS C:\Users\1144202885\ICESI\Sistemas_Operacionales\PowerShell\Clase4> notepad.exe .\respuestaClase4.md
PS C:\Users\1144202885\ICESI\Sistemas_Operacionales\PowerShell\Clase4> Get-Process | ft -Property Name,Id

Name                                                             Id
----                                                             --
ApplicationFrameHost                                           5204
bash                                                           3256
browser_broker                                                 5736
cmd                                                            4152
conhost                                                        4804
csrss                                                           376
csrss                                                           452
ctfmon                                                         4156
dasHost                                                        3056
dllhost                                                        1848
dllhost                                                        5792
dwm                                                             888
explorer                                                       4276
fontdrvhost                                                     704
fontdrvhost                                                     712
git-bash                                                       6348
Idle                                                              0
lsass                                                           580
Memory Compression                                             1292
Microsoft.Photos                                               3128
MicrosoftEdge                                                  5276
MicrosoftEdgeCP                                                5220
MicrosoftEdgeCP                                                6096
MicrosoftEdgeCP                                                6640
MicrosoftEdgeSH                                                6000
MsMpEng                                                        2448
NisSrv                                                         3308
notepad                                                        4756
OneDrive                                                       6440
powershell_ise                                                  680
Registry                                                         68
RuntimeBroker                                                  2384
RuntimeBroker                                                  3528
RuntimeBroker                                                  4392
RuntimeBroker                                                  4684
RuntimeBroker                                                  4896
RuntimeBroker                                                  5700
RuntimeBroker                                                  6424
RuntimeBroker                                                  6824
SearchIndexer                                                  4424
SearchUI                                                       4888
SecurityHealthService                                          4848
SecurityHealthSystray                                          6340
services                                                        572
SettingSyncHost                                                5852
SgrmBroker                                                      140
ShellExperienceHost                                            5080
sihost                                                         1800
SkypeApp                                                       5340
SkypeBackgroundHost                                            6160
smartscreen                                                    6296
smss                                                            288
spoolsv                                                        1924
svchost                                                           8
svchost                                                         180
svchost                                                         312
svchost                                                         316
svchost                                                         368
svchost                                                         436
svchost                                                         544
svchost                                                         672
svchost                                                         688
svchost                                                         780
svchost                                                         792
svchost                                                         824
svchost                                                         828
svchost                                                         860
svchost                                                         964
svchost                                                        1040
svchost                                                        1064
svchost                                                        1084
svchost                                                        1120
svchost                                                        1196
svchost                                                        1204
svchost                                                        1216
svchost                                                        1256
svchost                                                        1344
svchost                                                        1352
svchost                                                        1368
svchost                                                        1452
svchost                                                        1500
svchost                                                        1512
svchost                                                        1572
svchost                                                        1604
svchost                                                        1612
svchost                                                        1624
svchost                                                        1640
svchost                                                        1740
svchost                                                        2004
svchost                                                        2036
svchost                                                        2112
svchost                                                        2120
svchost                                                        2144
svchost                                                        2160
svchost                                                        2184
svchost                                                        2196
svchost                                                        2208
svchost                                                        2228
svchost                                                        2260
svchost                                                        2276
svchost                                                        2312
svchost                                                        2344
svchost                                                        2352
svchost                                                        2360
svchost                                                        2460
svchost                                                        2508
svchost                                                        2580
svchost                                                        2588
svchost                                                        2620
svchost                                                        3016
svchost                                                        3032
svchost                                                        3544
svchost                                                        3672
svchost                                                        3728
svchost                                                        3736
svchost                                                        3936
svchost                                                        3952
svchost                                                        4076
svchost                                                        4108
svchost                                                        4988
svchost                                                        5136
svchost                                                        5368
svchost                                                        5716
svchost                                                        6852
svchost                                                        7056
svchost                                                        7064
System                                                            4
taskhostw                                                      1844
